Sub_Model,RiskFactor_NM,X1_Var_NM,X2_Var_NM,RiskFactor_VAL,X1_Var_Val,X2_Var_Val,Calc_Type,On_Off_Flag,Monotonicity,Fixed,Key,Notes
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-200,70,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_70,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-200,85,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_85,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-200,105,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_105,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-200,120,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_120,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-200,140,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_140,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-200,165,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_165,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-200,200,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_200,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-200,250,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_250,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-200,300,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_300,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-200,350,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_350,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-200,400,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_400,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-200,450,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_450,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-200,500,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_500,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-100,70,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_70,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-100,85,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_85,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-100,105,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_105,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-100,120,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_120,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-100,140,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_140,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-100,165,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_165,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-100,200,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_200,
