Sub_Model,RiskFactor_NM,X1_Var,X2_Var,RiskFactor,X1_Val,X2_Val,Calc_Type,On_Off,Monotonicity,Fixed,Key
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.6058783909429102,-100,120,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_120
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.6058777276453623,-100,140,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_140
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.6058770643478144,-100,165,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_165
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.6058764010502665,-100,200,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_200
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.6058757377527186,-100,250,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_250
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.6058750744551707,-100,300,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_300
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.6058744111576229,-100,350,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_350
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.605873747860075,-100,400,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_400
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.6058730845625271,-100,450,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_450
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.6058724212649792,-100,500,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_500
HT,J02INC_13LNSZ,SPREAD,LNSZ,1.7561983725280104,-50,70,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_70
HT,J02INC_13LNSZ,SPREAD,LNSZ,1.7383564198153785,-50,85,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_85
HT,J02INC_13LNSZ,SPREAD,LNSZ,1.3466696497541597,-50,105,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_105
HT,J02INC_13LNSZ,SPREAD,LNSZ,1.3466696426863287,-50,120,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_120
HT,J02INC_13LNSZ,SPREAD,LNSZ,1.3466696261339985,-50,140,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_140
HT,J02INC_13LNSZ,SPREAD,LNSZ,1.3466693899649442,-50,165,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_165
HT,J02INC_13LNSZ,SPREAD,LNSZ,1.3466691082476987,-50,200,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_200
HT,J02INC_13LNSZ,SPREAD,LNSZ,1.2333853170392008,-50,250,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_250
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.9167344656890751,-50,300,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_300
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.8666494118498489,-50,350,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_350
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.8376384283776237,-50,400,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_400
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.8125677528740782,-50,450,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_450
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.7019801001847857,-50,500,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_500
HT,J02INC_13LNSZ,SPREAD,LNSZ,2.010026697951326,0,70,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_70
HT,J02INC_13LNSZ,SPREAD,LNSZ,1.8952773565473497,0,85,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_85
HT,J02INC_13LNSZ,SPREAD,LNSZ,1.833529982541131,0,105,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_105
HT,J02INC_13LNSZ,SPREAD,LNSZ,1.7183621625250838,0,120,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_120
HT,J02INC_13LNSZ,SPREAD,LNSZ,1.6159025847087862,0,140,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_140
HT,J02INC_13LNSZ,SPREAD,LNSZ,1.5129061338624963,0,165,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_165
HT,J02INC_13LNSZ,SPREAD,LNSZ,1.4061507520230327,0,200,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_200
HT,J02INC_13LNSZ,SPREAD,LNSZ,1.310170554873891,0,250,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_250
HT,J02INC_13LNSZ,SPREAD,LNSZ,1.206095890158394,0,300,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_300
HT,J02INC_13LNSZ,SPREAD,LNSZ,1.1030679890404582,0,350,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_350
HT,J02INC_13LNSZ,SPREAD,LNSZ,1.0160644161784735,0,400,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_400
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.899778419920726,0,450,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_450
HT,J02INC_13LNSZ,SPREAD,LNSZ,0.8125313715619069,0,500,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_500
